image_id,session,plant,fold,camera,bbch,cls,p_0_S1,p_1_S2,p_2_S5,p_3_S6,p_4_S7,p_5_S8,pred
c1_p005_20230816_o02,p005_20230816,5,0,1,65,3_S6,2.841629e-06,8.669591e-06,0.00044116986,0.6632962,0.33597454,0.00027651075,3_S6
c1_p005_20230921_o07,p005_20230921,5,0,1,77,4_S7,0.0009093254,0.0021918586,0.010753781,0.034472875,0.9404045,0.011267727,4_S7
c1_p005_20231005_o09,p005_20231005,5,0,1,79,4_S7,0.00020279706,0.00017704138,0.039297104,0.0038405478,0.9342336,0.022248844,4_S7
c1_p006_20230816_o04,p006_20230816,6,0,1,65,3_S6,0.0017524717,0.0002052552,0.0037654531,0.99361295,0.0006622803,1.5199079e-06,3_S6
c1_p006_20230921_o02,p006_20230921,6,0,1,78,4_S7,4.8690576e-06,8.838693e-07,1.7267635e-06,7.23738e-09,0.052407045,0.9475854,5_S8
c1_p006_20231005_o07,p006_20231005,6,0,1,79,4_S7,4.042281e-05,1.4563845e-09,5.661695e-07,1.0239092e-09,0.00028672145,0.9996723,5_S8
c1_p008_20230816_o06,p008_20230816,8,0,1,63,3_S6,6.031138e-07,1.84393e-05,0.014725979,0.9829385,0.0023160388,4.4614572e-07,3_S6
c1_p008_20230921_o03,p008_20230921,8,0,1,73,4_S7,1.6182667e-05,9.2446335e-06,0.0003166245,3.1360178e-05,0.99759537,0.0020313228,4_S7
c1_p008_20231005_o11,p008_20231005,8,0,1,76,4_S7,1.5391684e-05,1.3366911e-06,0.0010003886,6.8392444e-07,0.10181408,0.8971682,5_S8
c1_p010_20230816_o07,p010_20230816,10,0,1,64,3_S6,1.612755e-07,3.8918397e-06,0.00042620776,0.9865587,0.013010447,5.403261e-07,3_S6
c1_p010_20230921_o05,p010_20230921,10,0,1,72,4_S7,0.00011938627,0.00024068302,0.0066587236,0.00020316502,0.9900699,0.0027080649,4_S7
c1_p010_20231005_o03,p010_20231005,10,0,1,85,5_S8,1.8369074e-05,0.0004393682,0.0014764352,5.157709e-06,0.007935218,0.9901254,5_S8
c1_p016_20230816_o05,p016_20230816,16,0,1,70,4_S7,0.00012494059,0.005152247,0.009929842,0.43315545,0.55152595,0.000111653164,4_S7
c1_p016_20230921_o12,p016_20230921,16,0,1,75,4_S7,1.1028957e-05,4.8060606e-06,1.2284333e-05,0.00023828715,0.99586135,0.0038723608,4_S7
c1_p016_20231005_o09,p016_20231005,16,0,1,77,4_S7,2.8131856e-07,6.86999e-05,9.641756e-05,6.933962e-05,0.99815935,0.0016059505,4_S7
c1_p017_20230816_o06,p017_20230816,17,0,1,71,4_S7,1.4821306e-06,1.0083746e-05,0.0013437567,0.9978561,0.0007867019,1.8934804e-06,3_S6
c1_p017_20230921_o10,p017_20230921,17,0,1,74,4_S7,9.879213e-07,0.0017308954,0.00043755022,4.7243346e-05,0.99737954,0.0004038992,4_S7
c1_p017_20231005_o06,p017_20231005,17,0,1,72,4_S7,1.4116832e-05,8.123847e-05,8.006575e-05,4.919922e-06,0.0015179886,0.9983016,5_S8
c1_p025_20230828_o11,p025_20230828,25,0,1,16,0_S1,0.9948749,0.0046697403,0.0003887401,7.009768e-06,1.3610281e-05,4.590523e-05,0_S1
c1_p025_20230904_o03,p025_20230904,25,0,1,22,1_S2,0.020181177,0.3997762,0.35051507,0.16592637,0.06308453,0.00051670166,1_S2
c1_p025_20230908_o12,p025_20230908,25,0,1,61,3_S6,0.00026069192,0.00078819727,4.6616005e-05,0.9987527,0.00015181581,2.6960505e-08,3_S6
c1_p025_20230921_o07,p025_20230921,25,0,1,70,4_S7,0.02311287,0.094175264,0.060040858,0.66698384,0.15557286,0.00011427796,3_S6
c1_p025_20231006_o12,p025_20231006,25,0,1,72,4_S7,4.5319513e-09,3.726533e-06,2.6273538e-05,2.5748559e-05,0.99986947,7.4798394e-05,4_S7
c1_p025_20231017_o04,p025_20231017,25,0,1,75,4_S7,3.0189458e-06,0.00086532906,0.0030825466,0.0012509889,0.9947418,5.6380115e-05,4_S7
c1_p025_20231023_o02,p025_20231023,25,0,1,76,4_S7,7.321904e-11,1.5801522e-06,5.386407e-08,1.3589448e-05,0.99997985,4.9361042e-06,4_S7
c1_p025_20231027_o12,p025_20231027,25,0,1,77,4_S7,1.6909888e-06,0.0005781994,8.2880244e-05,0.00022227694,0.31950274,0.67961216,5_S8
