session,plant,fold,bbch,cls,p_0_S1,p_1_S2,p_2_S5,p_3_S6,p_4_S7,p_5_S8,pred,camera
p005_20230816,5,0,65,3_S6,0.0251447706671365,0.2499827022523,0.090859008176,0.0328309769625,0.600812547085,0.00037003717466,4_S7,fusion
p005_20230921,5,0,77,4_S7,0.015097806012500001,0.016398418850000002,0.018866675325,0.028204590325,0.86415645,0.0572760991,4_S7,fusion
p005_20231005,5,0,79,4_S7,0.00304009827,0.002670988125,0.088123162475,0.030043825974999997,0.7844022750000001,0.09171966855000001,4_S7,fusion
p006_20230816,6,0,65,3_S6,0.0002063633417,0.0134257314135,0.006766049299999999,0.8931613,0.08634580725,9.4743156005e-05,3_S6,fusion
p006_20230921,6,0,78,4_S7,0.00019834838968,0.000397693438625,0.00037840344716,0.003373901320985,0.9873312575000001,0.00832037769,4_S7,fusion
p006_20231005,6,0,79,4_S7,3.56780588625e-06,6.6590708835e-07,6.35767559466e-05,1.9793149701e-05,0.6995380024,0.30037441524749997,4_S7,fusion
p008_20230816,8,0,63,3_S6,0.010007041244625,0.2153297692485,0.010431964725,0.7127530774999999,0.05143597232375,4.21825744275e-05,3_S6,fusion
p008_20230921,8,0,73,4_S7,0.00015725197600000002,0.0009329285905000001,0.032289729775,0.009543733983250001,0.934670645,0.022405703342500003,4_S7,fusion
p008_20231005,8,0,76,4_S7,0.00076000064875,0.00236528729525,0.0034353685350000003,0.116249914907975,0.36214584325,0.5150435965000001,5_S8,fusion
p010_20230816,10,0,64,3_S6,0.00044537889324999997,0.0053681309,0.003926535425,0.9812126999999999,0.009035371374999998,1.1861212364999999e-05,3_S6,fusion
p010_20230921,10,0,72,4_S7,9.326557979000001e-05,0.0283259201000525,0.00463310678125,0.00303221226225,0.94943205,0.01448340912275,4_S7,fusion
p010_20231005,10,0,85,5_S8,0.0023101965047499996,0.00445927557,0.0121779516325,0.0090379565085,0.317106140875,0.65490848,5_S8,fusion
p016_20230816,16,0,70,4_S7,0.0001914359559265,0.011908398173175,0.0025300597265,0.877104695,0.10810052285,0.0001648969554125,3_S6,fusion
p016_20230921,16,0,75,4_S7,8.386296525e-06,0.0006429583517499999,0.001283432414,0.15826399318374998,0.838434565,0.00136668122,4_S7,fusion
p016_20231005,16,0,77,4_S7,0.00045347795572,0.001961146988875,0.027590985675,0.00074583954665,0.8099062224999999,0.1593423473925,4_S7,fusion
p017_20230816,17,0,71,4_S7,0.00526441497119875,0.0628889110463815,0.026504991844345,0.8130376825,0.09200557875,0.0002984815738601,3_S6,fusion
p017_20230921,17,0,74,4_S7,4.2151045575e-06,2.039306575e-05,0.0002318406824125,0.0010942187742,0.9961512,0.0024981926297875,4_S7,fusion
p017_20231005,17,0,72,4_S7,0.000218369649985,0.000486697416025,0.0008658957188,7.141806468e-05,0.435638553075,0.56271906828,5_S8,fusion
p025_20230828,25,0,16,0_S1,0.9976448625000001,0.0013572236975,0.0008921863508599999,7.584008706385e-05,1.4062274418875e-05,1.58337930725e-05,0_S1,fusion
p025_20230904,25,0,22,1_S2,0.36781638549999995,0.11478583875,0.42120820125,0.08761042975,0.0084921173875,8.7029654e-05,2_S5,fusion
p025_20230908,25,0,61,3_S6,0.00100026705,0.07988822590000001,0.023887178642499996,0.8084950774999999,0.08639817075,0.000331111011325,3_S6,fusion
p025_20230921,25,0,70,4_S7,0.00059420277322575,0.00466928783425,0.00962212536925,0.1147009715,0.8696154,0.000798022492125,4_S7,fusion
p025_20231006,25,0,72,4_S7,0.06898229395774999,0.0209457202,0.2079816585525,0.13974635792499998,0.5514879745,0.0108560411925,4_S7,fusion
p025_20231017,25,0,75,4_S7,2.2815656628945003e-06,5.44410586164075e-05,0.00025976881488440747,0.0033052802546249998,0.996027625,0.0003505994749825,4_S7,fusion
p025_20231023,25,0,76,4_S7,2.47485877582125e-07,2.9229247625e-05,4.223758343375e-06,0.00034033090774999997,0.999512085,0.00011388927584365,4_S7,fusion
p025_20231027,25,0,77,4_S7,1.4718667794999999e-06,0.000208516713875,9.443873987500001e-06,0.0006626788835749999,0.99782886,0.0012890368050000002,4_S7,fusion
p025_20231101,25,0,78,4_S7,2.4897189075e-07,0.0384129714245,1.6527524225e-05,0.0026427530796749995,0.9582985525,0.0006289600475,4_S7,fusion
p025_20231106,25,0,79,4_S7,1.034361506735e-06,8.6844636325e-05,2.3320866645e-05,4.40966858882e-05,0.9889192,0.0109255028975,4_S7,fusion
p025_20231109,25,0,79,4_S7,2.29872232535e-06,0.025925416992495003,0.00020287478822549998,0.000411000694195,0.9645794349999999,0.008879003375000001,4_S7,fusion
p025_20231120,25,0,81,5_S8,1.1357759905999999e-05,0.015771089018225,0.000374609145975,1.3982539655625e-05,0.31798465981375,0.665844305,5_S8,fusion
p025_20231124,25,0,81,5_S8,0.000390880862225,0.0771574826571,0.00878371886165,0.004511873211499999,0.39258303175,0.5165730146749999,5_S8,fusion
p025_20231127,25,0,81,5_S8,7.03084711175e-05,0.0112514596271,0.0048354848925,0.00183244474966,0.046788559555,0.9352217349999999,5_S8,fusion
p025_20231130,25,0,81,5_S8,2.3440181425e-05,0.000334584186875,0.0014511951939999998,1.897744095e-05,0.20176336604500003,0.7964084575,5_S8,fusion
p030_20230828,30,0,15,0_S1,0.9061482399999999,0.08870291115999998,0.0049667252145,0.000124827323975,3.3554047259999995e-05,2.3697511275000002e-05,0_S1,fusion
p030_20230904,30,0,53,2_S5,0.21448741162499999,0.170016626175,0.49410304549999995,0.11843233675,0.0029418292610000002,1.87632733e-05,2_S5,fusion
p030_20230908,30,0,62,3_S6,5.2159312279e-05,0.0033097237605,0.0015039393925,0.9774499925,0.017663460863075,2.07148979153075e-05,3_S6,fusion
p030_20230921,30,0,70,4_S7,0.0001122068963795,0.004495943683245,0.00183848205175,0.13132057265000002,0.8614090175,0.0008238408805,4_S7,fusion
p030_20231006,30,0,73,4_S7,1.24588397e-07,1.1522922349999999e-05,1.3247957675e-05,0.0022855205125,0.9976799999999999,9.5792290175e-06,4_S7,fusion
