image_id,session,plant,fold,camera,bbch,cls,p_0_S1,p_1_S2,p_2_S5,p_3_S6,p_4_S7,p_5_S8,pred
c4_p005_20230816_o02,p005_20230816,5,0,4,65,3_S6,0.0010119645,0.008142264,0.907018,0.05400648,0.019187212,0.010634111,2_S5
c4_p005_20230921_o07,p005_20230921,5,0,4,77,4_S7,1.3968999e-05,0.0017739288,0.0013340377,0.103178,0.89359033,0.00010974485,4_S7
c4_p005_20231005_o09,p005_20231005,5,0,4,79,4_S7,1.5697126e-06,1.7456794e-05,0.001616252,0.00052806706,0.9962878,0.0015488127,4_S7
c4_p006_20230816_o04,p006_20230816,6,0,4,65,3_S6,0.00025418858,0.003240195,0.015293495,0.9679356,0.013276002,5.304905e-07,3_S6
c4_p006_20230921_o02,p006_20230921,6,0,4,78,4_S7,4.5911225e-10,5.4578937e-08,4.5345524e-07,1.0743234e-06,0.99980336,0.00019510023,4_S7
c4_p006_20231005_o07,p006_20231005,6,0,4,79,4_S7,8.2511e-11,2.4446494e-09,5.4459505e-08,1.3271506e-07,0.99999297,6.9423586e-06,4_S7
c4_p008_20230816_o06,p008_20230816,8,0,4,63,3_S6,4.1614098e-07,0.00094458833,8.066665e-05,0.9981639,0.00080816273,2.3094185e-06,3_S6
c4_p008_20230921_o03,p008_20230921,8,0,4,73,4_S7,1.5432672e-06,1.4999164e-05,0.0044394843,0.007691255,0.98747456,0.0003782179,4_S7
c4_p008_20231005_o11,p008_20231005,8,0,4,76,4_S7,3.888462e-06,0.00019363972,0.00062798406,0.009056435,0.9886529,0.0014651814,4_S7
c4_p010_20230816_o07,p010_20230816,10,0,4,64,3_S6,7.056552e-09,2.2468312e-05,9.010594e-06,0.99996257,5.8594824e-06,5.7647314e-09,3_S6
c4_p010_20230921_o05,p010_20230921,10,0,4,72,4_S7,8.7315275e-05,0.008813831,0.0014961587,0.0036449383,0.9642761,0.021681538,4_S7
c4_p010_20231005_o03,p010_20231005,10,0,4,85,5_S8,1.2360509e-07,8.042535e-05,3.2387961e-06,0.00020141026,0.1092291,0.8904857,5_S8
c4_p016_20230816_o05,p016_20230816,16,0,4,70,4_S7,8.448008e-14,3.0806832e-10,1.6573178e-09,1.0,2.791822e-09,6.1801324e-13,3_S6
c4_p016_20230921_o12,p016_20230921,16,0,4,75,4_S7,8.852572e-08,3.6133704e-05,5.11561e-06,0.42813823,0.5718091,1.139192e-05,4_S7
c4_p016_20231005_o09,p016_20231005,16,0,4,77,4_S7,2.6197145e-07,7.9838055e-06,9.022837e-05,2.27282e-05,0.9982077,0.0016711166,4_S7
c4_p017_20230816_o06,p017_20230816,17,0,4,71,4_S7,7.167725e-09,1.0018634e-05,2.4115245e-06,0.9978011,0.0021864937,1.20980115e-08,3_S6
c4_p017_20230921_o10,p017_20230921,17,0,4,74,4_S7,8.2604896e-07,5.9596834e-05,8.712614e-06,0.0011685325,0.99289095,0.005871284,4_S7
c4_p017_20231005_o06,p017_20231005,17,0,4,72,4_S7,1.18050875e-05,0.0009022154,0.0003762317,2.2213755e-05,0.078863755,0.9198237,5_S8
c4_p025_20230828_o11,p025_20230828,25,0,4,16,0_S1,0.9988894,0.00040109848,0.0006870152,1.5505108e-05,3.645501e-06,3.22931e-06,0_S1
c4_p025_20230904_o03,p025_20230904,25,0,4,22,1_S2,0.8816912,0.118277356,6.7663877e-06,2.1248673e-07,1.0615404e-06,2.3426277e-05,0_S1
c4_p025_20230908_o12,p025_20230908,25,0,4,61,3_S6,8.760172e-05,0.001432656,0.0041635805,0.980584,0.01370066,3.148376e-05,3_S6
c4_p025_20230921_o07,p025_20230921,25,0,4,70,4_S7,3.9085087e-08,3.159293e-06,9.6913216e-05,0.19722484,0.8026654,9.622824e-06,4_S7
c4_p025_20231006_o12,p025_20231006,25,0,4,72,4_S7,5.3375537e-05,0.0021644605,0.10253522,0.41053596,0.48444247,0.00026848595,4_S7
c4_p025_20231017_o04,p025_20231017,25,0,4,75,4_S7,4.4654604e-07,4.0870923e-06,0.0005212825,0.0022989435,0.9896002,0.0075750407,4_S7
c4_p025_20231023_o02,p025_20231023,25,0,4,76,4_S7,1.9033972e-05,0.06982984,0.013710815,0.480843,0.43524832,0.000349086,3_S6
c4_p025_20231027_o12,p025_20231027,25,0,4,77,4_S7,6.175859e-05,0.0024380253,0.0053990437,0.05344348,0.9202846,0.018373001,4_S7
c4_p025_20231101_o07,p025_20231101,25,0,4,78,4_S7,3.4733095e-08,0.99376583,1.0342317e-05,0.00022101359,0.0059880186,1.4672323e-05,1_S2
c4_p025_20231106_o01,p025_20231106,25,0,4,79,4_S7,1.6565126e-06,0.000637812,0.00023916674,0.00045908405,0.99255365,0.0061086477,4_S7
c4_p025_20231109_o12,p025_20231109,25,0,4,79,4_S7,8.120099e-06,0.7350497,0.0017660928,0.011812288,0.24907506,0.002288767,1_S2
c4_p025_20231120_o02,p025_20231120,25,0,4,81,5_S8,0.0009571702,0.065238066,0.028120238,0.0012375368,0.10624836,0.7981986,5_S8
c4_p025_20231124_o04,p025_20231124,25,0,4,81,5_S8,0.00067986455,0.25909638,0.12525696,0.0004299752,0.16781528,0.4467216,5_S8
c4_p025_20231127_o09,p025_20231127,25,0,4,81,5_S8,8.4624975e-05,0.0016676278,0.03756647,0.00033977468,0.6823669,0.27797458,4_S7
c4_p025_20231130_o12,p025_20231130,25,0,4,81,5_S8,0.00014897848,0.0042940183,0.042027544,0.0001958991,0.0032649979,0.9500685,5_S8
c4_p030_20230828_o03,p030_20230828,30,0,4,15,0_S1,0.99407744,0.0021102931,0.0035670833,0.00018139172,1.7885757e-05,4.586183e-05,0_S1
c4_p030_20230904_o12,p030_20230904,30,0,4,53,2_S5,0.0005181104,0.001241533,0.80919605,0.18491703,0.0041117333,1.5498515e-05,2_S5
c4_p030_20230908_o03,p030_20230908,30,0,4,62,3_S6,0.00015325751,0.007880182,0.003869519,0.9825342,0.0054697767,9.30297e-05,3_S6
c4_p030_20230921_o03,p030_20230921,30,0,4,70,4_S7,1.616851e-10,1.5150098e-06,1.527565e-08,2.3663927e-06,0.9999958,2.5810354e-07,4_S7
c4_p030_20231006_o12,p030_20231006,30,0,4,73,4_S7,4.071337e-11,1.1850416e-07,1.5850668e-07,3.911132e-05,0.99996066,2.638613e-08,4_S7
c4_p030_20231017_o02,p030_20231017,30,0,4,75,4_S7,3.0528474e-10,0.12212504,4.7027587e-08,2.0482034e-06,0.87787044,2.406403e-06,4_S7
c4_p030_20231023_o04,p030_20231023,30,0,4,76,4_S7,7.0204144e-14,4.816374e-11,1.6524816e-13,2.1267496e-07,0.99999976,6.1004546e-10,4_S7
c4_p030_20231027_o04,p030_20231027,30,0,4,77,4_S7,1.9213013e-17,1.7506727e-10,1.5343295e-14,3.9174056e-10,1.0,1.5555132e-10,4_S7
c4_p030_20231101_o01,p030_20231101,30,0,4,78,4_S7,1.0244148e-05,7.473285e-05,0.00012260738,0.0065155337,0.98949826,0.0037786704,4_S7
c4_p030_20231106_o08,p030_20231106,30,0,4,79,4_S7,3.7057282e-09,1.9646001e-07,7.858775e-07,1.3475234e-06,0.99976856,0.00022912289,4_S7
c4_p030_20231109_o04,p030_20231109,30,0,4,79,4_S7,1.1089586e-10,5.4212637e-06,8.877932e-09,5.8423723e-08,0.9999051,8.941704e-05,4_S7
c4_p030_20231120_o03,p030_20231120,30,0,4,81,5_S8,7.3999445e-07,6.781557e-05,3.1355985e-06,4.0490177e-06,0.0072882017,0.99263614,5_S8
c4_p030_20231124_o10,p030_20231124,30,0,4,82,5_S8,1.1598829e-07,5.965882e-06,1.5940548e-05,8.624962e-08,0.0006132204,0.9993647,5_S8
c4_p030_20231127_o02,p030_20231127,30,0,4,85,5_S8,3.4668843e-05,0.0019680902,0.0044261133,8.774585e-05,0.7238223,0.26966107,4_S7
c4_p030_20231130_o06,p030_20231130,30,0,4,87,5_S8,8.5691676e-07,1.4386806e-06,3.963817e-06,1.3416494e-07,2.0430023e-05,0.9999732,5_S8
c4_p035_20230828_o11,p035_20230828,35,0,4,14,0_S1,0.98106474,0.010225712,0.0074017826,0.0005670869,0.00035065692,0.00039004578,0_S1
c4_p035_20230904_o01,p035_20230904,35,0,4,16,0_S1,0.00054578437,0.0010555518,0.8800491,0.1104132,0.007919127,1.7252434e-05,2_S5
c4_p035_20230908_o08,p035_20230908,35,0,4,52,2_S5,4.5633886e-05,0.0009908515,0.009468099,0.5805055,0.4088218,0.00016813717,3_S6
c4_p035_20230921_o06,p035_20230921,35,0,4,52,2_S5,1.9800287e-05,0.054564916,0.001000037,0.9221053,0.022302339,7.655592e-06,3_S6
c4_p035_20231006_o07,p035_20231006,35,0,4,52,2_S5,8.5880424e-07,0.19189532,0.00018585834,0.024095953,0.78373235,8.968874e-05,4_S7
c4_p035_20231017_o05,p035_20231017,35,0,4,52,2_S5,1.10457695e-05,0.0013282681,0.0013190235,0.0048377463,0.9772027,0.015301197,4_S7
c4_p035_20231023_o05,p035_20231023,35,0,4,52,2_S5,7.530067e-06,0.01647719,0.0017929617,0.004609533,0.93282855,0.04428432,4_S7
c4_p035_20231027_o02,p035_20231027,35,0,4,52,2_S5,0.00044821738,0.14521427,0.019261915,0.023511434,0.79597116,0.015592958,4_S7
c4_p035_20231101_o11,p035_20231101,35,0,4,52,2_S5,0.0001618004,0.45136192,0.032284606,0.018970203,0.4947914,0.0024300092,4_S7
c4_p035_20231106_o08,p035_20231106,35,0,4,52,2_S5,1.6558049e-06,0.0062875147,0.00028197397,0.0008469281,0.98732346,0.0052584107,4_S7
c4_p035_20231109_o09,p035_20231109,35,0,4,52,2_S5,1.971202e-06,0.24440797,0.0001936216,0.0014298938,0.7527667,0.0011998408,4_S7
c4_p035_20231120_o07,p035_20231120,35,0,4,52,2_S5,3.6992617e-06,0.007612405,0.00045728587,0.0068568937,0.9820025,0.0030672306,4_S7
c4_p035_20231124_o01,p035_20231124,35,0,4,52,2_S5,0.00018566057,0.03564987,0.036862113,0.00035704073,0.10565989,0.82128537,5_S8
c4_p035_20231127_o10,p035_20231127,35,0,4,52,2_S5,3.095721e-05,0.0030204148,0.0062847226,0.0026037653,0.83114386,0.15691629,4_S7
c4_p035_20231130_o06,p035_20231130,35,0,4,52,2_S5,0.00017432832,0.017820701,0.25863588,6.2628395e-05,0.029945003,0.69336146,5_S8
c4_p036_20230828_o07,p036_20230828,36,0,4,51,2_S5,0.890131,0.060318347,0.049178746,0.0002823313,3.8727652e-05,5.084162e-05,0_S1
c4_p036_20230904_o04,p036_20230904,36,0,4,60,3_S6,0.00979447,0.00015838716,0.9869407,0.0030916769,1.3835955e-05,8.5747934e-07,2_S5
